circuit_id,constructorName,wins,total_races,win_rate
2022_1,Ferrari,1,20,0.05
2022_10,Ferrari,1,20,0.05
2022_11,Ferrari,1,20,0.05
2022_12,Red Bull,1,20,0.05
2022_13,Red Bull,1,20,0.05
2022_14,Red Bull,1,20,0.05
2022_15,Red Bull,1,20,0.05
2022_16,Red Bull,1,20,0.05
2022_17,Red Bull,1,20,0.05
2022_18,Red Bull,1,20,0.05
2022_19,Red Bull,1,20,0.05
2022_2,Red Bull,1,20,0.05
2022_20,Red Bull,1,20,0.05
2022_21,Mercedes,1,20,0.05
2022_22,Red Bull,1,20,0.05
2022_3,Ferrari,1,20,0.05
2022_4,Red Bull,1,20,0.05
2022_5,Red Bull,1,20,0.05
2022_6,Red Bull,1,20,0.05
2022_7,Red Bull,1,20,0.05
2022_8,Red Bull,1,20,0.05
2022_9,Red Bull,1,20,0.05
2023_1,Red Bull,1,20,0.05
2023_10,Red Bull,1,20,0.05
2023_11,Red Bull,1,20,0.05
2023_12,Red Bull,1,20,0.05
2023_13,Red Bull,1,20,0.05
2023_14,Red Bull,1,20,0.05
2023_15,Ferrari,1,20,0.05
2023_16,Red Bull,1,20,0.05
2023_17,Red Bull,1,20,0.05
2023_18,Red Bull,1,20,0.05
2023_19,Red Bull,1,20,0.05
2023_2,Red Bull,1,20,0.05
2023_20,Red Bull,1,20,0.05
2023_21,Red Bull,1,20,0.05
2023_22,Red Bull,1,20,0.05
2023_3,Red Bull,1,20,0.05
2023_4,Red Bull,1,20,0.05
2023_5,Red Bull,1,20,0.05
2023_6,Red Bull,1,20,0.05
2023_7,Red Bull,1,20,0.05
2023_8,Red Bull,1,20,0.05
2023_9,Red Bull,1,20,0.05
2024_1,Red Bull,1,20,0.05
2024_10,Red Bull,1,20,0.05
2024_11,Mercedes,1,20,0.05
2024_12,Mercedes,1,20,0.05
2024_13,McLaren,1,20,0.05
2024_14,Mercedes,1,20,0.05
2024_15,McLaren,1,20,0.05
2024_16,Ferrari,1,20,0.05
2024_17,McLaren,1,20,0.05
2024_18,McLaren,1,20,0.05
2024_19,Ferrari,1,20,0.05
2024_2,Red Bull,1,20,0.05
2024_20,Ferrari,1,20,0.05
2024_21,Red Bull,1,20,0.05
2024_22,Mercedes,1,20,0.05
2024_23,Red Bull,1,20,0.05
2024_24,McLaren,1,20,0.05
2024_3,Ferrari,1,19,0.05263157894736842
2024_4,Red Bull,1,20,0.05
2024_5,Red Bull,1,20,0.05
2024_6,McLaren,1,20,0.05
2024_7,Red Bull,1,20,0.05
2024_8,Ferrari,1,20,0.05
2024_9,Red Bull,1,20,0.05
2025_1,McLaren,1,20,0.05
2025_10,Mercedes,1,20,0.05
2025_11,McLaren,1,20,0.05
2025_12,McLaren,1,20,0.05
2025_13,McLaren,1,20,0.05
2025_14,McLaren,1,20,0.05
2025_15,McLaren,1,20,0.05
2025_16,Red Bull,1,20,0.05
2025_17,Red Bull,1,20,0.05
2025_18,Mercedes,1,20,0.05
2025_19,Red Bull,1,20,0.05
2025_2,McLaren,1,20,0.05
2025_3,Red Bull,1,20,0.05
2025_4,McLaren,1,20,0.05
2025_5,McLaren,1,20,0.05
2025_6,McLaren,1,20,0.05
2025_7,Red Bull,1,20,0.05
2025_8,McLaren,1,20,0.05
2025_9,McLaren,1,19,0.05263157894736842
