iter	Passed	Remaining
0	58	8709
1	59	4396
2	60	2958
3	61	2245
4	62	1811
5	63	1521
6	64	1315
7	65	1159
8	66	1039
9	67	941
10	68	862
11	69	796
12	70	739
13	71	690
14	71	647
15	72	610
16	73	577
17	74	548
18	75	522
19	76	498
20	77	477
21	78	458
22	79	439
23	80	423
24	81	407
25	82	393
26	83	379
27	84	367
28	85	356
29	86	345
30	87	335
31	88	325
32	89	316
33	90	307
34	91	299
35	92	291
36	93	284
37	93	276
38	94	270
39	95	263
40	96	257
41	97	251
42	98	245
43	99	240
44	100	235
45	101	230
46	102	225
47	103	220
48	104	216
49	105	211
50	106	207
51	107	203
52	108	199
53	109	195
54	110	191
55	111	187
56	112	183
57	113	180
58	114	176
59	115	173
60	116	170
61	117	166
62	118	163
63	119	160
64	120	157
65	121	154
66	122	151
67	123	148
68	124	146
69	126	144
70	129	143
71	130	141
72	131	138
73	132	136
74	133	133
75	134	130
76	135	128
77	136	125
78	137	123
79	138	120
80	138	118
81	139	116
82	140	113
83	141	111
84	142	108
85	143	106
86	144	104
87	145	102
88	146	100
89	146	97
90	147	95
91	148	93
92	149	91
93	150	89
94	151	87
95	152	85
96	153	83
97	153	81
98	154	79
99	155	77
100	156	75
101	157	73
102	158	72
103	158	70
104	159	68
105	160	66
106	161	64
107	162	63
108	163	61
109	164	59
110	164	57
111	165	56
112	166	54
113	167	52
114	168	51
115	169	49
116	170	47
117	170	46
118	171	44
119	172	43
120	173	41
121	174	39
122	174	38
123	175	36
124	176	35
125	177	33
126	178	32
127	179	30
128	180	29
129	181	27
130	182	26
131	183	25
132	184	23
133	185	22
134	187	20
135	188	19
136	189	18
137	190	16
138	191	15
139	192	13
140	193	12
141	194	10
142	195	9
143	196	8
144	197	6
145	198	5
146	199	4
147	200	2
148	201	1
149	202	0
